#mm9.knownGene.name	mm9.knownGene.chrom	mm9.knownGene.txStart	mm9.knownGene.txEnd	mm9.knownGene.strand	mm9.kgXref.refseq
uc007aeu.1	chr1	3204562	3661579	-	NM_001011874
uc007aex.2	chr1	4333587	4350395	-	NM_011283
uc007aez.1	chr1	4481008	4486494	-	NM_011441
uc007aff.2	chr1	4763278	4775807	-	NM_001177658
uc007afh.1	chr1	4797973	4836816	+	NM_008866
uc007afi.2	chr1	4847774	4887990	+	NM_011541
uc007afl.2	chr1	4899656	5060366	-	NM_001177795
uc007afn.1	chr1	5073253	5152630	+	NM_133826
uc007afo.1	chr1	5578573	5592947	+	NM_011011
uc011whw.1	chr1	5903787	5907479	-	NM_010342
uc007afr.2	chr1	6204742	6266185	+	NM_009826
uc007afv.2	chr1	6349411	6384812	+	NM_001195732
uc007afy.1	chr1	6720131	6851021	+	NM_173868
uc007agb.1	chr1	7079000	7163709	+	NM_183028
uc007agh.1	chr1	8352741	9289811	-	NM_027671
uc007agk.2	chr1	9535488	9537536	+	NM_021511
uc007agl.2	chr1	9538126	9568049	+	NM_175236
uc007agn.2	chr1	9550913	9621173	-	NR_015470
uc007agp.1	chr1	9591347	9617223	+	NM_178399
uc007agq.1	chr1	9658915	9690290	-	NM_008651
uc007ags.1	chr1	9713277	9738463	-	NM_173443
uc007agv.1	chr1	9788210	9892649	+	NM_177547
uc011wie.1	chr1	9898718	9931035	+	NM_177722
uc007aha.1	chr1	9932105	9934199	-	NR_024067
uc011wif.1	chr1	9932550	9932624	-	NR_004410
uc007ahb.1	chr1	9958706	9999211	-	NM_145692
uc007ahe.1	chr1	10014911	10027979	-	NM_013715
uc007ahi.1	chr1	10028298	10126849	+	NM_026493
uc007ahn.1	chr1	10127587	10222751	-	NM_001102430
uc007ahq.1	chr1	10314807	10710024	-	NM_177834
uc007ahs.2	chr1	10983545	11293763	+	NM_029525
uc011wij.1	chr1	11404185	11965983	+	NM_001160369
uc007aid.1	chr1	12708625	12850453	+	NM_172294
uc007aif.1	chr1	12856630	12981216	-	NM_172841
uc007aik.1	chr1	13103508	13117244	-	NM_001081209
uc007aim.1	chr1	13129239	13364164	-	NM_008678
uc007ait.1	chr1	13554782	13579945	-	NM_028173
uc007aiu.1	chr1	13615979	13650590	-	NM_145381
uc007aiv.1	chr1	13658851	13691804	+	NM_001011873
uc011wil.1	chr1	13775765	13777010	-	NR_004447
uc007aix.1	chr1	14159038	14300280	-	NM_010164
uc007aja.1	chr1	14743428	14746047	-	NM_010827
uc007ajc.1	chr1	14862728	14908943	-	NM_177781
uc007aje.1	chr1	15302532	15704295	+	NM_001098528
uc007ajh.1	chr1	15795738	15833510	+	NM_009352
uc007ajj.1	chr1	15843942	15882803	-	NM_001033288
uc007ajl.2	chr1	16091375	16094514	-	NM_011291
uc007ajm.1	chr1	16095962	16122631	+	NM_133832
uc007ajn.2	chr1	16218890	16509383	-	NM_025303
uc007ajt.1	chr1	16559486	16609367	-	NM_025773
uc007ajv.1	chr1	16632845	16646946	-	NM_026456
uc007ajy.1	chr1	16655271	16668356	+	NM_027415
uc007ajz.2	chr1	16678536	16699686	+	NM_016923
uc007aka.1	chr1	16987544	17087879	-	NM_020604
uc007akc.2	chr1	17135453	17154351	+	NM_010267
uc007ake.2	chr1	17591981	17621020	+	NM_053191
uc007akh.1	chr1	17717497	17756288	+	NM_031402
uc007aki.1	chr1	18105271	18127133	-	NM_030033
uc007akl.1	chr1	18200133	18213645	-	NR_002879
uc007akm.1	chr1	18226553	18227524	-	NM_001039123
uc007ako.1	chr1	18250604	18255219	-	NM_001040027
uc007akp.1	chr1	19093102	19156413	+	NM_153154
uc007akt.1	chr1	19202134	19228815	+	NM_001025305
uc007akv.1	chr1	20047859	20608138	-	NM_153179
uc011win.1	chr1	20669090	20672968	+	NR_029902
uc007aky.1	chr1	20720985	20724577	+	NM_010552
uc007ala.1	chr1	20767229	20774351	-	NM_145856
uc007alc.1	chr1	20793094	20810294	-	NM_008563
uc007ald.1	chr1	20880702	20928837	+	NM_028829
uc007alf.2	chr1	20941706	20980922	+	NM_027974
uc007alg.1	chr1	20991458	21069306	-	NM_177409
uc007alj.1	chr1	21208711	21220248	+	NM_029398
uc007all.1	chr1	21230669	21255640	+	NM_010356
uc007alm.1	chr1	21275326	21288393	-	NR_002858
uc007aln.1	chr1	21339757	21342280	+	NM_183322
uc007alo.1	chr1	21358411	21359824	+	NM_001033904
uc007alp.2	chr1	21373636	21376465	+	NM_001113187
uc011wio.1	chr1	21388483	21952023	-	NM_001160139
uc007alw.1	chr1	22278502	22812563	-	NM_001012625
uc007alz.1	chr1	23107312	23109092	-	NM_025746
uc011wip.1	chr1	23279107	23279178	+	NR_029533
uc007ama.2	chr1	23298539	23298623	+	NR_029717
uc007amb.1	chr1	23373262	23390014	-	NM_001081079
uc007ame.1	chr1	23768764	23854697	+	NM_172124
uc007amh.1	chr1	23852465	23929128	-	NM_028534
uc007amj.2	chr1	24002777	24012479	-	NM_026503
uc007aml.2	chr1	24017596	24107180	-	NM_026604
uc007amo.2	chr1	24184448	24259577	+	NM_007740
uc007amq.1	chr1	24264521	24594276	-	NM_007733
uc007amt.1	chr1	24685382	24823146	+	NM_026719
uc011wis.1	chr1	25124320	25886552	-	NM_175642
uc007amz.2	chr1	26738645	26744305	-	NM_001033764
uc007anb.1	chr1	28832966	28837097	-	NM_001013750
uc007ane.1	chr1	30859186	30920101	-	NM_001081080
uc007ani.1	chr1	30997147	31006600	-	NM_011200
uc007ank.1	chr1	31233279	31261570	+	NM_153601
uc007anm.1	chr1	31279683	31281132	+	NM_029062
uc011wiu.1	chr1	31321691	31324906	+	NR_015347
uc007anp.1	chr1	32229650	32714583	+	NM_133235
uc011wiv.1	chr1	32576407	32577844	-	NM_001199956
uc011wiw.1	chr1	32600390	32604138	-	NM_001164286
uc007anq.1	chr1	33510655	33726603	-	NM_008922
uc007ant.2	chr1	33726668	33727557	+	NR_033199
uc007anw.2	chr1	33776740	33799409	+	NM_008999
uc007any.1	chr1	33802328	33814595	-	NM_145392
uc007anz.1	chr1	33818597	33871272	-	NM_133817
uc011wiy.1	chr1	33892743	33895759	-	NM_001161816
uc007aoc.1	chr1	33908896	33964466	-	NM_177235
uc007aoi.1	chr1	34068669	34365497	+	NM_134448
uc011wja.1	chr1	34493514	34496517	-	NM_027159
uc007aor.2	chr1	34496673	34502592	+	NM_178601
uc007aos.1	chr1	34516590	34530624	+	NM_011206
uc007aov.1	chr1	34555274	34559907	+	NM_009355
uc007aow.1	chr1	34592492	34601156	+	NM_007685
uc007aox.1	chr1	34609176	34617788	-	NM_009356
uc011wjc.1	chr1	34636537	34647789	+	NM_213727
uc011wjd.1	chr1	34690379	34693055	-	NR_033627
uc011wje.1	chr1	34870062	34899895	-	NM_001160235
uc007apl.1	chr1	34906803	34936430	+	NM_145516
uc007apn.2	chr1	36125244	36163291	+	NM_015818
uc007app.2	chr1	36196872	36301147	-	NM_198899
uc007aps.1	chr1	36321446	36330270	-	NM_153408
uc007apv.2	chr1	36364577	36380874	+	NM_001172205
uc007aqa.1	chr1	36392574	36426026	-	NM_172652
uc007aqd.1	chr1	36480030	36502084	-	NM_001013374
uc007aqg.2	chr1	36528441	36565621	+	NM_033570
uc007aqj.1	chr1	36568720	36585082	+	NM_053186
uc007aql.1	chr1	36587378	36592574	-	NM_153502
uc007aqo.1	chr1	36595017	36604046	-	NM_026241
uc007aqr.2	chr1	36605486	36615226	-	NM_001126047
uc011wjn.1	chr1	36619540	36740028	-	NM_001126046
uc007aqw.1	chr1	36748331	36750233	+	NM_009942
uc007aqx.1	chr1	36756046	36766770	-	NM_146107
uc007aqz.1	chr1	36818705	36839661	+	NM_009539
uc007ard.1	chr1	36849033	36996372	-	NM_018872
uc007ari.1	chr1	37276105	37320229	+	NM_009918
uc007arl.2	chr1	37356737	37467580	+	NM_030266
uc007aro.2	chr1	37473929	37486948	-	NM_198006
uc007arp.1	chr1	37487016	37495969	+	NM_026123
uc007art.2	chr1	37496184	37593249	-	NM_173870
uc011wjs.1	chr1	37542695	37545450	-	NR_024017
uc007arx.2	chr1	37668520	37776656	-	NM_028096
uc007arz.1	chr1	37811620	37921924	-	NM_207228
uc007ash.2	chr1	37929050	37933143	+	NM_001037918
uc007asi.1	chr1	37935734	37947256	-	NM_026913
uc007asj.1	chr1	37947397	37955178	+	NM_027098
uc007ask.1	chr1	37962767	37973338	-	NM_001033427
uc007asl.1	chr1	38003582	38014604	-	NM_027111
uc007asm.1	chr1	38040711	38054053	-	NM_172054
uc007aso.1	chr1	38054854	38112424	+	NM_198303
uc007asr.1	chr1	38109630	38186507	-	NM_019570
uc007ass.2	chr1	38234171	38721800	-	NM_010678
uc007asx.1	chr1	38851353	38878060	-	NM_001029878
uc007asy.1	chr1	38920717	38955005	-	NM_145142
uc007atb.1	chr1	38995993	39007121	+	NM_001011684
uc007atc.1	chr1	39044658	39054081	+	NM_026850
uc007atd.2	chr1	39251116	39420085	+	NM_008719
